,id_paquete,id_monitoreo,arreglo_estado,complemeto_estado,fecha_creado
0,00045e98-0aab-4b8e-94a0-9184e4befa92,RL8S658ACL0AXHBIERRB,DELIVERED,ORIGIN_SCAN,2021-12-09 19:14:44
1,00055124-724a-4d52-a51a-d23d026b55a0,JVAIF6EIQTK4HAQHIWHE,DELIVERED,ORIGIN_SCAN,2021-12-08 15:00:10
2,000a0b64-dda7-4805-834b-d8a3a5ecdfe0,SFNQFCKGTMKDSKOMIAQE,DELIVERED,ORIGIN_SCAN,2021-12-09 16:11:39
3,000afef9-d1d7-47bd-9e22-5b1a3ab8128e,6YMP7KXKVLPHDNXKC0IF,DELIVERED,ORIGIN_SCAN,2021-12-10 14:00:13
4,000e1b4b-03a2-4ca6-b47a-cf2294f7ba63,T269IC9MXC5CPGV5NWGE,ARRIVAL_SCAN,RETURNED_TO_CLIENT,2021-12-11 12:00:19
5,00117e2f-91e6-469c-9963-e36e672af502,f8Oqi2LuhyTcehFO60b4,NEXT_IN_ROUTE,ORIGIN_SCAN,2021-12-10 17:05:39
6,00117e85-2481-4a84-86b4-a22104357447,OVYDMMM5KDFCBILZ9WUG,ARRIVAL_SCAN,RETURNED_TO_CLIENT,2021-12-11 10:35:08
7,00138e3f-753f-4c5e-83d4-44e8f8df887f,DNG50J2JOR0QMKR104WG,DELIVERED,ORIGIN_SCAN,2021-12-11 10:56:38
8,00163fce-62bf-4707-8ac9-5cc8d9d2cd54,RGSRT7JL87CXZ92T1SE3,ARRIVAL_SCAN,RETURNED_TO_CLIENT,2021-12-10 13:49:19
9,0016cf5a-f94d-40e1-a260-563fb88e0ffb,twZTcdnYivgAxZUAJQqI,DELIVERED,ORIGIN_SCAN,2021-12-10 17:05:38
10,0023e113-8d9e-4cbf-bffa-2605bfa7507d,N92U8U9TJVSZJMOLJAQK,DELIVERED,ORIGIN_SCAN,2021-12-09 11:32:06
11,00262fa9-3349-46f4-a7bf-33cfecbe6d3b,VW3VWU26WOZVZTBSTTEU,DELIVERED,ORIGIN_SCAN,2021-12-10 12:56:04
12,0026fe6b-ebc9-4050-a910-025b4fe4b90d,VTWSCJFEDQEU5AXWZGQX,DELIVERED,ORIGIN_SCAN,2021-12-11 11:24:58
13,002ccdac-9b88-4729-a20c-b2ec8acb0d6f,RXGPZF0LEINDKWVZ8QYQ,DELIVERED,ORIGIN_SCAN,2021-12-10 14:31:51
14,002de7ea-cb9a-4408-bd33-356d1de9936b,IKQJS6A51ANLMDBN00GC,DELIVERED,ORIGIN_SCAN,2021-12-11 11:06:15
15,002f9172-1016-4d16-8f0a-0a74f3393c84,4KIEGOWZDUCZEYUP06QB,DELIVERED,ORIGIN_SCAN,2021-12-11 12:53:23
16,00306300-793d-429a-826c-9224ca3e32e5,G9NQHYB0V3KXGGXEFBXK,DELIVERED,ORIGIN_SCAN,2021-12-10 12:09:58
17,0035edd2-212c-4115-8fea-1003d887e8e5,LT2ZRE40DPLSCARNJCRY,ARRIVAL_SCAN,RETURNED_TO_CLIENT,2021-12-11 18:06:30
18,00370abb-36fc-4919-9735-e721390ccb11,LEQZBVWMKPGIMIDMTJDK,DELIVERED,ORIGIN_SCAN,2021-12-11 13:02:38
19,00399ed4-60ff-4295-bd88-17580653c4d1,NJVX4MVSWOEEZDSSFDHR,DELIVERED,ORIGIN_SCAN,2021-12-09 19:51:05
20,0039ff74-5ee4-40cb-a8c6-930c6ee4c0f0,SURKWN6LUIXWDFQKYSWX,DELIVERED,ORIGIN_SCAN,2021-12-11 16:08:42
21,003c31f5-30eb-4c88-bbda-7d1f3143e921,8DUOYQPKIRIPM3IYNEV4,DELIVERED,ORIGIN_SCAN,2021-12-10 14:00:01
22,003f7da4-df64-47ac-b7b2-a572276f68ac,YMFHUM3NLQ0CEEOZEOHW,DELIVERED,ORIGIN_SCAN,2021-12-09 19:53:05
23,00473b80-edbf-4b59-9683-a3b18a11f636,QLPANRX1ZSIAMUS2U1C1,DELIVERED,ORIGIN_SCAN,2021-12-10 12:06:05
24,00490d2c-c29c-4723-aaff-ed121971eade,773SFQEU3BCXJQG69WE0,DELIVERED,ORIGIN_SCAN,2021-12-10 12:54:35
